일시,태양광 이용률,합계전천일사량(MJ/m2)
2016-03-17,14.4,11.52
2016-03-18,13.88,10.56
2016-03-19,18.9,15.21
2016-03-20,17.96,15.13
2016-03-21,20.07,15.82
2016-03-22,18.79,15.24
2016-03-23,17.71,13.75
2016-03-24,22.04,17.2
2016-03-25,17.81,14.65
2016-03-26,18.7,14.41
2016-03-27,20.18,15.81
2016-03-28,20.65,16.66
2016-03-29,13.98,10.57
2016-03-30,20.22,16
2016-03-31,17.44,14.11
2016-04-01,20.26,16.69
2016-04-02,19.42,16.43
2016-04-03,3.85,2.94
2016-04-04,22.06,18.03
2016-04-05,22.35,18.81
2016-04-06,16.72,13.25
2016-04-07,17.72,14.79
2016-04-08,19.37,16.31
2016-04-09,6.45,5.91
2016-04-10,15.95,12.85
2016-04-11,22.98,19.2
2016-04-12,17.28,14.03
2016-04-13,13.74,10.31
2016-04-14,16.6,9.89
2016-04-15,22.97,19.4
2016-04-16,8.96,7.18
2016-04-17,17.72,15.25
2016-04-18,21.11,17.03
2016-04-19,23.61,19.46
2016-04-20,12.75,10.37
2016-04-21,7.83,7.27
2016-04-22,14.07,12.83
2016-04-23,17.27,13.8
2016-04-24,23.01,19.09
2016-04-25,22.62,19.59
2016-04-26,20.4,17.79
2016-04-27,6.76,4.69
2016-04-28,19.84,16.57
2016-04-29,22.84,20.2
2016-04-30,14.82,13.41
2016-05-01,19,17.36
2016-05-02,17.99,15.57
2016-05-03,1.89,1.6
2016-05-04,25.75,22.98
2016-05-05,22.24,20.52
2016-05-06,2.81,1.68
2016-05-07,24.28,21.46
2016-05-08,23.32,20.99
2016-05-09,16.59,16.42
2016-05-10,4.63,4.21
2016-05-11,24.38,22.25
2016-05-12,24.46,22.1
2016-05-13,23.7,21.15
2016-05-14,24.71,21.71
2016-05-15,13.02,11.07
2016-05-16,24.8,21.64
2016-05-17,24.84,22.87
2016-05-18,24.68,23.2
2016-05-19,24.2,22.89
2016-05-20,23.52,22.29
2016-05-21,23.81,22.5
2016-05-22,23.97,23.21
2016-05-23,19.02,17.5
2016-05-24,9.33,7.16
2016-05-25,17.21,14.46
2016-05-26,9.18,10.07
2016-05-27,19.17,17.33
2016-05-28,23.41,21.42
2016-05-29,19.01,17.77
2016-05-30,23.87,22.59
2016-05-31,21.75,20.72
2016-06-01,23.73,21.8
2016-06-02,23.89,23.55
2016-06-03,22.92,22.49
2016-06-04,10.74,7.74
2016-06-05,23.3,22.38
2016-06-06,15.39,15.55
2016-06-07,16.38,19.93
2016-06-08,19.25,19.28
2016-06-09,22.28,19.91
2016-06-10,21.11,20.55
2016-06-11,11.93,12.1
2016-06-12,13.51,13.18
2016-06-13,19.69,17.69
2016-06-14,18.79,17.2
2016-06-15,8.37,6.79
2016-06-16,16.4,17.42
2016-06-17,22.11,20.56
2016-06-18,22.77,22.37
2016-06-19,18.87,18.39
2016-06-20,17.93,18.2
2016-06-21,17.42,16.33
2016-06-22,11.97,11.62
2016-06-23,18.08,17.68
2016-06-24,10.06,8.7
2016-06-25,19.66,23.12
2016-06-26,23.59,23.61
2016-06-27,14.21,13.24
2016-06-28,21.3,20.29
2016-06-29,17.75,16.15
2016-06-30,10.57,7.42
2016-07-01,4.52,4.58
2016-07-02,13.08,10.79
2016-07-03,11.02,9.58
2016-07-04,4.37,2.87
2016-07-05,3.56,2.99
2016-07-06,13.16,11.33
2016-07-07,14.34,11.08
2016-07-08,21.56,22.75
2016-07-09,22.13,21.88
2016-07-10,19.64,19.7
2016-07-11,18.24,18.45
2016-07-12,14.06,13.99
2016-07-13,15.71,13.67
2016-07-14,18.12,13.79
2016-07-15,13.51,10.6
2016-07-16,3.03,2.05
2016-07-17,7.21,5.63
2016-07-18,15.7,15.15
2016-07-19,21.06,21.42
2016-07-20,19.77,16.9
2016-07-21,16.13,14.73
2016-07-22,19.64,19.64
2016-07-23,12.96,11.82
2016-07-24,9.11,9.45
2016-07-25,12.59,13.34
2016-07-26,14.42,14.28
2016-07-27,6.57,5.13
2016-07-28,18.9,17.54
2016-07-29,6.15,4.44
2016-07-30,14.72,15.01
2016-07-31,17.33,18.29
2016-08-01,13.85,14.28
2016-08-02,10.94,8.39
2016-08-03,20,18.16
2016-08-04,19.81,14.74
2016-08-05,20.25,18.03
2016-08-06,18.92,18.84
2016-08-07,20.03,20.15
2016-08-08,19.05,16.39
2016-08-09,17.47,16.54
2016-08-10,18.25,18.57
2016-08-11,19.85,18.79
2016-08-12,18.7,17.49
2016-08-13,18.38,19.04
2016-08-14,11.47,13.27
2016-08-15,16.7,16.87
2016-08-16,18.41,17.07
2016-08-17,18.09,15.93
2016-08-18,14.42,13.32
2016-08-19,12.48,13.66
2016-08-20,16.02,13.77
2016-08-21,17.21,16.91
2016-08-22,17.53,14.55
2016-08-23,14.72,14.24
2016-08-24,15.64,14.6
2016-08-25,14.1,15.03
2016-08-26,13.93,11.75
2016-08-27,21.48,19.51
2016-08-28,9.87,6.94
2016-08-29,17.24,16.14
2016-08-30,11.24,9.33
2016-08-31,3.99,3.55
2016-09-01,15.41,13.9
2016-09-02,16.76,16.19
2016-09-03,13.05,11.82
2016-09-04,11.96,10.91
2016-09-05,15.65,13.71
2016-09-06,13.6,11.93
2016-09-07,12.55,9.68
2016-09-08,12.28,4.04
2016-09-09,15.35,10.93
2016-09-10,14.28,10.09
2016-09-11,12.98,12
2016-09-12,14.29,10.61
2016-09-13,17.94,13.64
2016-09-14,14.62,11.95
2016-09-15,15.15,13.22
2016-09-16,12.31,10.34
2016-09-17,11.2,8.68
2016-09-18,14.92,14.13
2016-09-19,17.07,14.38
2016-09-20,21.84,17.18
2016-09-21,16.73,13.14
2016-09-22,16.95,14.18
2016-09-23,17.57,15.31
2016-09-24,17.17,14.87
2016-09-25,13.45,9.67
2016-09-26,9.89,7.9
2016-09-27,2.86,2.26
2016-09-28,5.35,4.42
2016-09-29,11.08,9.41
2016-09-30,8.84,4.23
2016-10-01,9.25,6.26
2016-10-02,2.6,2.09
2016-10-03,14.29,11.55
2016-10-04,18.77,15.45
2016-10-05,12.71,9.84
2016-10-06,18.39,14.99
2016-10-07,10.12,8.13
2016-10-08,13.68,11.09
2016-10-09,20.49,15.14
2016-10-10,18.08,13.03
2016-10-11,13.37,9.91
2016-10-12,16.63,12.57
2016-10-13,15.75,11.31
2016-10-14,14.1,10.89
2016-10-15,14.66,11.14
2016-10-16,3.7,2.86
2016-10-17,11.6,8.92
2016-10-18,12.61,7.15
2016-10-19,14.51,11.31
2016-10-20,13.76,11.14
2016-10-21,7.62,5.3
2016-10-22,9.14,6.82
2016-10-23,1.95,2.05
2016-10-24,17.66,12.33
2016-10-25,5.19,4.03
2016-10-26,5.42,5.72
2016-10-27,11.43,7.86
2016-10-28,6.28,3.98
2016-10-29,6.34,6.48
2016-10-30,18.43,12.35
2016-10-31,2.1,1.72
2016-11-01,18.58,12.09
2016-11-02,14.95,7.02
2016-11-03,12.37,9.04
2016-11-04,7.16,5.96
2016-11-05,6.22,6.2
2016-11-06,9.47,8.33
2016-11-07,6.64,5.49
2016-11-08,14.14,10.34
2016-11-09,16.9,10.9
2016-11-10,5.02,3.31
2016-11-11,13.15,8.32
2016-11-12,11.39,8.6
2016-11-13,7.32,5.45
2016-11-14,3.42,2.43
2016-11-15,16.21,10.44
2016-11-16,11.89,7.8
2016-11-17,12.44,8.1
2016-11-18,6.94,5.25
2016-11-19,7.34,3.65
2016-11-20,14.18,9.16
2016-11-21,3.41,2.76
2016-11-22,9.92,7.44
2016-11-23,12.13,7.7
2016-11-24,15.38,9.66
2016-11-25,11.69,7.24
2016-11-26,1.94,1.55
2016-11-27,4.95,5.42
2016-11-28,13.52,8.66
2016-11-29,14.26,8.68
2016-11-30,4.64,4.08
2016-12-01,13.63,8.43
2016-12-02,14.44,8.82
2016-12-03,12.47,7.94
2016-12-04,4.44,3.42
2016-12-05,4.57,4.44
2016-12-06,14.65,9.05
2016-12-07,6.87,5.73
2016-12-08,6.64,5.83
2016-12-09,11.13,6.86
2016-12-10,13.82,8.43
2016-12-11,13.75,8.42
2016-12-12,6.57,4.89
2016-12-13,8.01,4.67
2016-12-14,3.19,2.32
2016-12-15,13.52,8.66
2016-12-16,13.49,8.72
2016-12-17,7.75,5.4
2016-12-18,3,2.48
2016-12-19,5.04,4.03
2016-12-20,10.42,7.16
2016-12-21,6.53,4.82
2016-12-22,1.08,0.84
2016-12-23,1.62,2.4
2016-12-24,5.52,6.03
2016-12-25,10.17,6.7
2016-12-26,1.54,1.41
2016-12-27,12.31,8.24
2016-12-28,13.16,8.29
2016-12-29,12.89,8.68
2016-12-30,10.82,7.78
2016-12-31,6.03,4.46
2017-01-01,6.04,4.55
2017-01-02,5.95,4.94
2017-01-03,12.46,7.83
2017-01-04,12.09,7.67
2017-01-05,4.98,3.8
2017-01-06,11.7,7.25
2017-01-07,10.05,6.62
2017-01-08,7.7,5.5
2017-01-09,9.93,6.45
2017-01-10,11.64,7.29
2017-01-11,12.86,7.51
2017-01-12,11.37,6.04
2017-01-13,10.01,6.57
2017-01-14,16.24,9.82
2017-01-15,15.88,9.72
2017-01-16,15.17,9.45
2017-01-17,11.07,7.52
2017-01-18,5.73,4.67
2017-01-19,9.78,7.21
2017-01-20,3.1,6.96
2017-01-21,5.09,5.3
2017-01-22,9.32,10.12
2017-01-23,13.63,10.22
2017-01-24,15.04,10.5
2017-01-25,15.42,10.74
2017-01-26,9.64,8.13
2017-01-27,16.98,10.72
2017-01-28,13.94,8.37
2017-01-29,1.29,1.31
2017-01-30,7.43,11
2017-01-31,11.36,9.33
2017-02-01,16.06,11.22
2017-02-02,17.44,11.51
2017-02-03,14.02,9.92
2017-02-04,4.41,3.35
2017-02-05,2.84,2.21
2017-02-06,17.93,11.48
2017-02-07,10.2,7.43
2017-02-08,7.94,6.38
2017-02-09,16.5,10.67
2017-02-10,18.96,12.36
2017-02-11,19.09,12.19
2017-02-12,19.39,12.88
2017-02-13,11.07,7.07
2017-02-14,18.43,12.61
2017-02-15,14.81,10.49
2017-02-16,9.98,7.75
2017-02-17,19.67,12.65
2017-02-18,20.3,13.41
2017-02-19,8,6.06
2017-02-20,19.16,12.73
2017-02-21,19.49,13.18
2017-02-22,1.76,1.78
2017-02-23,20.69,14.11
2017-02-24,20.21,14
2017-02-25,19.86,14.69
2017-02-26,19.48,12.23
2017-02-27,20.55,14.07
2017-02-28,18.44,13.62
2017-03-01,7.49,6.62
2017-03-02,16.48,14.28
2017-03-03,18.56,14
2017-03-04,19.42,14.57
2017-03-05,13.47,11.32
2017-03-06,22.95,15.97
2017-03-07,23.03,16.2
2017-03-08,18.23,13.85
2017-03-09,19.83,14.77
2017-03-10,21.83,15.93
2017-03-11,20.5,15.39
2017-03-12,11.17,10.73
2017-03-13,20.79,14.9
2017-03-14,21.91,16.54
2017-03-15,21.72,15.93
2017-03-16,20.45,15.63
2017-03-17,20.32,15.4
2017-03-18,18.64,14.63
2017-03-19,20.35,15.7
2017-03-20,6.88,5.02
2017-03-21,17.85,15.33
2017-03-22,20.73,16.4
2017-03-23,17.47,14.35
2017-03-24,15.8,12.83
2017-03-25,11.37,10.72
2017-03-26,13.54,10.65
2017-03-27,11.22,12.1
2017-03-28,14.14,12.33
2017-03-29,19.82,15.91
2017-03-30,19.08,15.47
2017-03-31,5.7,6.15
2017-04-01,17.17,16.56
2017-04-02,21.26,18.69
2017-04-03,23.01,18.74
