일시,태양광 이용률,일강수량(mm),평균 상대습도(%),합계전천일사량(MJ/m2)
2015-09-18,20.1,0,62.78,15.74
2015-09-19,19.68,0,67.78,15.06
2015-09-20,15.01,0,74.3,13.77
2015-09-21,17.92,0,70.56,14.04
2015-09-22,19.02,0,64.82,16.14
2015-09-23,7.65,0,73.68,5.6
2015-09-24,16.9,0,70.34,13.24
2015-09-25,16.05,0,68.6,12.68
2015-09-26,14.25,0,70.74,11.78
2015-09-27,19.84,0,59.1,15.87
2015-09-28,14.51,0,54.2,13.22
2015-09-29,19.57,0,47.94,15.86
2015-09-30,11.41,0,52.46,8.89
2015-10-01,1.52,24.24,81.02,1.52
2015-10-02,17.69,0,62.56,14.29
2015-10-03,18,0,55,14.3
2015-10-04,15.66,0,52.14,11.96
2015-10-05,19.39,0,63.6,14.41
2015-10-06,17.96,0,69.2,13.51
2015-10-07,13.61,0,73.08,10.92
2015-10-08,16.31,0,68.04,12.26
2015-10-09,20.54,0,47.44,15.3
2015-10-10,7.45,8.58,81.02,4.56
2015-10-11,6.23,2.76,86.04,4.15
2015-10-12,19.17,0.02,65.84,13.59
2015-10-13,18.49,0,72.9,13.65
2015-10-14,16.91,0,72.88,12.35
2015-10-15,16.63,0,70.9,12.06
2015-10-16,14.32,0,75.08,9.03
2015-10-17,16.05,0,73.28,11.81
2015-10-18,13.23,0,77.56,10.1
2015-10-19,12.02,0,75.86,10.16
2015-10-20,11.93,0,76.04,9.37
2015-10-21,10.08,0,79.24,8.39
2015-10-22,10,0,75.14,9.14
2015-10-23,8.52,0,74.9,9.85
2015-10-24,12.7,7.94,70.06,8.92
2015-10-25,15.91,0,63.6,11.32
2015-10-26,7.87,1.7,71.2,6.46
2015-10-27,10.87,19.32,69.44,8.64
2015-10-28,16.47,0,56.62,11.47
2015-10-29,14.86,2.92,58.58,10.74
2015-10-30,18.15,0,49.74,12.3
2015-10-31,17.16,0,55.64,12.13
2015-11-01,8.72,0,59.18,7.16
2015-11-02,10.61,0,67.48,9.1
2015-11-03,13.11,0,78.1,9.84
2015-11-04,13.77,0,74.18,10.17
2015-11-05,11.64,0,72.42,8
2015-11-06,9.97,5.46,67.9,7.77
2015-11-07,1.29,22.46,88.52,1.42
2015-11-08,1.68,14.74,87.1,1.55
2015-11-09,4.6,3.88,84.44,2.44
2015-11-10,7.03,0,79.68,6.01
2015-11-11,9.74,0,78.08,8.14
2015-11-12,12.64,0,71.28,9.71
2015-11-13,1.32,19.94,85.46,1.23
2015-11-14,2.38,7.46,91.4,1.55
2015-11-15,9.33,0.04,81.7,8.13
2015-11-16,2.51,11.6,89.02,2.59
2015-11-17,12.31,0.34,76.08,8.88
2015-11-18,0.98,5.92,72.06,1.04
2015-11-19,2.59,0.2,78.64,2.28
2015-11-20,6.76,0,78.18,4.34
2015-11-21,10.57,0,69.24,6.91
2015-11-22,7.16,3.42,71.4,5.92
2015-11-23,3.26,10.38,81.16,2.84
2015-11-24,5.03,0.9,68.02,3.92
2015-11-25,1.57,11.94,86.6,2.11
2015-11-26,3.66,0.74,65.4,4.78
2015-11-27,6.36,0,61.96,4.41
2015-11-28,3.13,0.14,74.12,2.59
2015-11-29,1.5,3.58,88.26,1.04
2015-11-30,12.17,0.18,76.12,7.89
2015-12-01,12.85,0,70.42,7.8
2015-12-02,1.2,15.34,75.5,1.07
2015-12-03,2.05,8.06,75.08,1.87
2015-12-04,5.04,0,69.9,5.12
2015-12-05,9.28,0,60.22,7.6
2015-12-06,9.32,0,59.94,6.94
2015-12-07,10.62,0,69.02,8.1
2015-12-08,11.86,0,71.76,7.95
2015-12-09,9.36,0,71.58,6.55
2015-12-10,1.39,0.7,81.62,1.62
2015-12-11,10.16,0,58.02,6.33
2015-12-12,13.28,0,62.3,8.01
2015-12-13,12.33,0,63.78,7.45
2015-12-14,1.74,2.98,81.56,1.63
2015-12-15,4.74,0.06,70.36,3.35
2015-12-16,10.33,0,49.6,6.77
2015-12-17,13.82,0,45.66,8.52
2015-12-18,2.18,0,69.58,2.17
2015-12-19,11.45,0,74.36,7.92
2015-12-20,5.82,0,70.74,3.93
2015-12-21,3.14,2.96,84.22,2.3
2015-12-22,10.25,0,76.98,6.66
2015-12-23,7.16,0.34,75.8,4.94
2015-12-24,7.13,0,74,5.52
2015-12-25,14.14,0,48.9,8.43
2015-12-26,5.62,1.2,70.38,5.14
2015-12-27,14.31,0,39.1,8.64
2015-12-28,14.14,0,44.44,8.39
2015-12-29,10.75,0,59.1,6.91
2015-12-30,8.33,1.72,71.34,5.97
2015-12-31,7.12,0,81.02,5.52
2016-01-01,6.46,0,79.28,4.52
2016-01-02,6.58,0,77.1,4.15
2016-01-03,5.59,0,86.38,4.03
2016-01-04,12.57,0,52.72,7.48
2016-01-05,11.14,0,38.74,6.59
2016-01-06,6.36,0,59.26,4.87
2016-01-07,13.97,0,52.48,8.55
2016-01-08,13.71,0,54.92,8.63
2016-01-09,13.19,0,59.46,7.23
2016-01-10,12.17,0,45.12,7.75
2016-01-11,14.22,0,39.36,8.92
2016-01-12,14.43,0,50.56,9.05
2016-01-13,9.28,0.86,64.22,6.05
2016-01-14,9.75,0.26,56.2,8.2
2016-01-15,9.45,0.26,69.74,7.37
2016-01-16,5.14,0.16,74.94,4.01
2016-01-17,4.56,0,73.26,3.61
2016-01-18,10.9,0.26,56.76,7.04
2016-01-19,14.74,0,43.16,9.93
2016-01-20,11.46,0,54.66,7.71
2016-01-21,11.14,0,53.04,7.18
2016-01-22,10.76,0,45.9,7.9
2016-01-23,13.88,0,37.3,9.74
2016-01-24,13.84,0,44.58,9.51
2016-01-25,15.68,0,52.26,9.93
2016-01-26,7.16,0.38,70.78,5.77
2016-01-27,12.62,0,63.34,8.1
2016-01-28,6.7,0,58.6,5.61
2016-01-29,4.47,0,49.8,3.53
2016-01-30,11.11,0,63.24,7.65
2016-01-31,14.21,0,42.36,9.01
2016-02-01,16.91,0,38.38,10.73
2016-02-02,17.11,0,46.7,10.68
2016-02-03,14.81,0,57.7,9.84
2016-02-04,14.04,0,51.46,9.67
2016-02-05,14.18,0,43.46,9.42
2016-02-06,17.04,0.06,44.12,10.97
2016-02-07,17.59,0,50.72,11.36
2016-02-08,6.59,0.22,62.38,6.09
2016-02-09,16.77,0,50.1,11.77
2016-02-10,17.77,0,47.92,12
2016-02-11,9.85,0.32,39.24,7.46
2016-02-12,1.06,19.68,91.74,1.02
2016-02-13,3.97,19.82,92.3,3.76
2016-02-14,3.09,0.44,71.36,3.24
2016-02-15,20.17,0.02,49.22,13.18
2016-02-16,7.07,0.88,70.46,5.77
2016-02-17,19.02,0,59.28,13.01
2016-02-18,10.5,0.02,66.9,7.11
2016-02-19,5.11,0,67.72,3.41
2016-02-20,16.86,0,46.7,11.71
2016-02-21,18.75,0,39.46,13.62
2016-02-22,7.2,0.06,43.32,5.08
2016-02-23,17.24,0.22,54.38,11.37
2016-02-24,20.79,0,44.02,14.39
2016-02-25,14.38,0.2,55.22,9.74
2016-02-26,18.87,0.32,45.98,13.17
2016-02-27,11.41,2.94,67.14,9.51
2016-02-28,3.64,3.5,76.9,3.17
2016-02-29,4.59,0,48.68,10.43
2016-03-01,15.19,0,52.24,14.29
2016-03-02,10.94,0,69.4,10.06
2016-03-03,11.21,0,68.24,9
2016-03-04,16.65,1.1,61.48,13.31
2016-03-05,2.3,47.88,89.4,1.96
2016-03-06,18.15,0,58.94,13.65
2016-03-07,5.28,0,52.24,3.97
2016-03-08,8.9,0,40.16,5.79
2016-03-09,21.45,0,36.42,15.19
