일시,태양광 이용률,평균 상대습도(%),합계전천일사량(MJ/m2)
2016-07-20,19.77,70.62,16.9
2016-07-21,16.13,72.18,14.73
2016-07-22,19.64,69.6,19.64
2016-07-23,12.96,76.2,11.82
2016-07-24,9.11,83.14,9.45
2016-07-25,12.59,81.56,13.34
2016-07-26,14.42,78.98,14.28
2016-07-27,6.57,83.58,5.13
2016-07-28,18.9,76.42,17.54
2016-07-29,6.15,88.76,4.44
2016-07-30,14.72,82.18,15.01
2016-07-31,17.33,80.6,18.29
2016-08-01,13.85,80.44,14.28
2016-08-02,10.94,80.9,8.39
2016-08-03,20,72.54,18.16
2016-08-04,19.81,73.94,14.74
2016-08-05,20.25,71.52,18.03
2016-08-06,18.92,73.04,18.84
2016-08-07,20.03,68.5,20.15
2016-08-08,19.05,71.2,16.39
2016-08-09,17.47,71.52,16.54
2016-08-10,18.25,71.24,18.57
2016-08-11,19.85,71.28,18.79
2016-08-12,18.7,74.18,17.49
2016-08-13,18.38,73.44,19.04
2016-08-14,11.47,83.16,13.27
2016-08-15,16.7,73.12,16.87
2016-08-16,18.41,70.52,17.07
2016-08-17,18.09,70.14,15.93
2016-08-18,14.42,71.58,13.32
2016-08-19,12.48,74.18,13.66
2016-08-20,16.02,66.98,13.77
2016-08-21,17.21,66.16,16.91
2016-08-22,17.53,67.88,14.55
2016-08-23,14.72,69.62,14.24
2016-08-24,15.64,66.7,14.6
2016-08-25,14.1,73.96,15.03
2016-08-26,13.93,67.8,11.75
2016-08-27,21.48,54.32,19.51
2016-08-28,9.87,70.06,6.94
2016-08-29,17.24,66.96,16.14
2016-08-30,11.24,70.4,9.33
2016-08-31,3.99,84.74,3.55
2016-09-01,15.41,75.44,13.9
2016-09-02,16.76,75.54,16.19
2016-09-03,13.05,79.96,11.82
2016-09-04,11.96,78.68,10.91
2016-09-05,15.65,74.32,13.71
2016-09-06,13.6,78.86,11.93
2016-09-07,12.55,77.28,9.68
2016-09-08,12.28,78.38,4.04
2016-09-09,15.35,77.24,10.93
2016-09-10,14.28,75.88,10.09
2016-09-11,12.98,73.2,12
2016-09-12,14.29,72.16,10.61
2016-09-13,17.94,70.82,13.64
2016-09-14,14.62,73.46,11.95
2016-09-15,15.15,75.94,13.22
2016-09-16,12.31,75.84,10.34
2016-09-17,11.2,77.26,8.68
2016-09-18,14.92,62.2,14.13
2016-09-19,17.07,62.42,14.38
2016-09-20,21.84,49.2,17.18
2016-09-21,16.73,60.44,13.14
2016-09-22,16.95,62.38,14.18
2016-09-23,17.57,69.48,15.31
2016-09-24,17.17,71.68,14.87
2016-09-25,13.45,70.9,9.67
2016-09-26,9.89,73.94,7.9
2016-09-27,2.86,89.56,2.26
2016-09-28,5.35,86.48,4.42
2016-09-29,11.08,69.78,9.41
2016-09-30,8.84,77.62,4.23
2016-10-01,9.25,81.22,6.26
2016-10-02,2.6,89.72,2.09
2016-10-03,14.29,79.98,11.55
2016-10-04,18.77,70.56,15.45
2016-10-05,12.71,72.92,9.84
2016-10-06,18.39,71.28,14.99
2016-10-07,10.12,75,8.13
2016-10-08,13.68,67.62,11.09
2016-10-09,20.49,50.44,15.14
2016-10-10,18.08,61.88,13.03
2016-10-11,13.37,73.3,9.91
2016-10-12,16.63,68.4,12.57
2016-10-13,15.75,63.32,11.31
2016-10-14,14.1,75.02,10.89
2016-10-15,14.66,74.14,11.14
2016-10-16,3.7,84.64,2.86
2016-10-17,11.6,81.88,8.92
2016-10-18,12.61,83.26,7.15
2016-10-19,14.51,78.14,11.31
2016-10-20,13.76,73.86,11.14
2016-10-21,7.62,66.42,5.3
2016-10-22,9.14,69.3,6.82
2016-10-23,1.95,74.52,2.05
2016-10-24,17.66,67.48,12.33
2016-10-25,5.19,90.2,4.03
2016-10-26,5.42,88.32,5.72
2016-10-27,11.43,76.54,7.86
2016-10-28,6.28,69.1,3.98
2016-10-29,6.34,48.3,6.48
2016-10-30,18.43,52.06,12.35
2016-10-31,2.1,64.32,1.72
2016-11-01,18.58,46.1,12.09
2016-11-02,14.95,63.28,7.02
2016-11-03,12.37,72.86,9.04
2016-11-04,7.16,70.02,5.96
2016-11-05,6.22,79.16,6.2
2016-11-06,9.47,62.64,8.33
2016-11-07,6.64,69.04,5.49
2016-11-08,14.14,59.16,10.34
2016-11-09,16.9,48.88,10.9
2016-11-10,5.02,66.94,3.31
2016-11-11,13.15,68.68,8.32
2016-11-12,11.39,68.98,8.6
2016-11-13,7.32,82.2,5.45
2016-11-14,3.42,87.42,2.43
2016-11-15,16.21,47.72,10.44
2016-11-16,11.89,60.18,7.8
2016-11-17,12.44,67.14,8.1
2016-11-18,6.94,74.34,5.25
2016-11-19,7.34,78.78,3.65
2016-11-20,14.18,51.46,9.16
2016-11-21,3.41,55.6,2.76
2016-11-22,9.92,43.94,7.44
2016-11-23,12.13,38.4,7.7
2016-11-24,15.38,43.62,9.66
2016-11-25,11.69,55.8,7.24
2016-11-26,1.94,79.82,1.55
2016-11-27,4.95,89.62,5.42
2016-11-28,13.52,62.54,8.66
2016-11-29,14.26,56.46,8.68
2016-11-30,4.64,66.1,4.08
2016-12-01,13.63,48.16,8.43
2016-12-02,14.44,56.54,8.82
2016-12-03,12.47,69.32,7.94
2016-12-04,4.44,74.52,3.42
2016-12-05,4.57,69.74,4.44
2016-12-06,14.65,40.96,9.05
2016-12-07,6.87,66.14,5.73
